"";"mun";"year";"age_group";"pop";"FXET"
"1";"110001";2019;"From 0 to 4 years";1674;"01"
"2";"110001";2019;"From 10 to 14 years";1686;"03"
"3";"110001";2019;"From 15 to 19 years";1790;"04"
"4";"110001";2019;"From 20 to 24 years";1878;"05"
"5";"110001";2019;"From 25 to 29 years";1981;"06"
"6";"110001";2019;"From 30 to 34 years";1826;"07"
"7";"110001";2019;"From 35 to 39 years";1784;"08"
"8";"110001";2019;"From 40 to 44 years";1593;"09"
"9";"110001";2019;"From 45 to 49 years";1535;"10"
"10";"110001";2019;"From 5 to 9 years";1639;"02"
"11";"110001";2019;"From 50 to 54 years";1509;"11"
"12";"110001";2019;"From 55 to 59 years";1335;"12"
"13";"110001";2019;"From 60 to 64 years";949;"13"
"14";"110001";2019;"From 65 to 69 years";684;"14"
"15";"110001";2019;"From 70 to 74 years";451;"15"
"16";"110001";2019;"From 75 to 79 years";327;"16"
"17";"110001";2019;"From 80 years or more";304;"17"
"18";"110002";2019;"From 0 to 4 years";8289;"01"
"19";"110002";2019;"From 10 to 14 years";8575;"03"
"20";"110002";2019;"From 15 to 19 years";9848;"04"
"21";"110002";2019;"From 20 to 24 years";10033;"05"
"22";"110002";2019;"From 25 to 29 years";9674;"06"
"23";"110002";2019;"From 30 to 34 years";9475;"07"
"24";"110002";2019;"From 35 to 39 years";8789;"08"
"25";"110002";2019;"From 40 to 44 years";7675;"09"
"26";"110002";2019;"From 45 to 49 years";6811;"10"
"27";"110002";2019;"From 5 to 9 years";8030;"02"
"28";"110002";2019;"From 50 to 54 years";6134;"11"
"29";"110002";2019;"From 55 to 59 years";4719;"12"
"30";"110002";2019;"From 60 to 64 years";3560;"13"
"31";"110002";2019;"From 65 to 69 years";2566;"14"
"32";"110002";2019;"From 70 to 74 years";1651;"15"
"33";"110002";2019;"From 75 to 79 years";1028;"16"
"34";"110002";2019;"From 80 years or more";1006;"17"
"35";"110003";2019;"From 0 to 4 years";405;"01"
"36";"110003";2019;"From 10 to 14 years";361;"03"
"37";"110003";2019;"From 15 to 19 years";336;"04"
"38";"110003";2019;"From 20 to 24 years";383;"05"
"39";"110003";2019;"From 25 to 29 years";402;"06"
"40";"110003";2019;"From 30 to 34 years";368;"07"
"41";"110003";2019;"From 35 to 39 years";434;"08"
"42";"110003";2019;"From 40 to 44 years";402;"09"
"43";"110003";2019;"From 45 to 49 years";402;"10"
"44";"110003";2019;"From 5 to 9 years";395;"02"
"45";"110003";2019;"From 50 to 54 years";390;"11"
"46";"110003";2019;"From 55 to 59 years";321;"12"
"47";"110003";2019;"From 60 to 64 years";265;"13"
"48";"110003";2019;"From 65 to 69 years";183;"14"
"49";"110003";2019;"From 70 to 74 years";113;"15"
"50";"110003";2019;"From 75 to 79 years";77;"16"
"51";"110003";2019;"From 80 years or more";75;"17"
"52";"110004";2019;"From 0 to 4 years";5909;"01"
"53";"110004";2019;"From 10 to 14 years";6283;"03"
"54";"110004";2019;"From 15 to 19 years";6775;"04"
"55";"110004";2019;"From 20 to 24 years";7210;"05"
"56";"110004";2019;"From 25 to 29 years";7532;"06"
"57";"110004";2019;"From 30 to 34 years";7503;"07"
"58";"110004";2019;"From 35 to 39 years";6874;"08"
"59";"110004";2019;"From 40 to 44 years";6324;"09"
"60";"110004";2019;"From 45 to 49 years";5731;"10"
"61";"110004";2019;"From 5 to 9 years";5909;"02"
"62";"110004";2019;"From 50 to 54 years";5223;"11"
"63";"110004";2019;"From 55 to 59 years";4387;"12"
"64";"110004";2019;"From 60 to 64 years";3439;"13"
"65";"110004";2019;"From 65 to 69 years";2437;"14"
