 Retroprojeção da População do Brasil por sexo e idade simples: 2010-2000
População residente por Faixa Etária 1 e Ano
Período:2010
"Faixa Etária 1";"2010";"Total"
"0 a 4 anos";14858280;14858280
"5 a 9 anos";15865195;15865195
"10 a 14 anos";17397304;17397304
"15 a 19 anos";17219086;17219086
"20 a 24 anos";17476779;17476779
"25 a 29 anos";17334110;17334110
"30 a 34 anos";15955949;15955949
"35 a 39 anos";14075108;14075108
"40 a 44 anos";13184170;13184170
"45 a 49 anos";11992439;11992439
"50 a 54 anos";10276773;10276773
"55 a 59 anos";8387564;8387564
"60 a 64 anos";6596741;6596741
"65 a 69 anos";4905988;4905988
"70 a 74 anos";3792042;3792042
"75 a 79 anos";2597990;2597990
"80 a 84 anos";1689444;1689444
"85 a 89 anos";830529;830529
"90 anos e mais";455191;455191
"Total";194890682;194890682
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Retroprojeção da população do Brasil por sexo e idade - 2010-2000
 
